TABLE_NAME,COLUMN_NAME,NUM_ROWS,AVG_ROW_LEN,DATA_TYPE,DATA_LENGTH,NUM_DISTINCT,NUM_NULLS,AVG_COL_LEN
CAMPAIGN_NYC,ADJTYPECD,122836,194,VARCHAR2,120,3,121023,2
CAMPAIGN_NYC,AMNT,122836,194,NUMBER,22,707,0,4
CAMPAIGN_NYC,APARTMENT,122836,194,VARCHAR2,120,602,120887,2
CAMPAIGN_NYC,BBL,122836,194,NUMBER,22,1366,116426,2
CAMPAIGN_NYC,BIN,122836,194,NUMBER,22,1360,116426,2
CAMPAIGN_NYC,BOROUGHCD,122836,194,VARCHAR2,120,6,966,2
CAMPAIGN_NYC,C_CODE,122836,194,VARCHAR2,120,13,0,5
CAMPAIGN_NYC,CANCLASS,122836,194,VARCHAR2,120,2,0,3
CAMPAIGN_NYC,CANDFIRST,122836,194,VARCHAR2,120,145,0,8
CAMPAIGN_NYC,CANDID,122836,194,VARCHAR2,120,194,0,4
CAMPAIGN_NYC,CANDLAST,122836,194,VARCHAR2,120,188,0,8
CAMPAIGN_NYC,CANDMI,122836,194,VARCHAR2,120,20,63739,2
CAMPAIGN_NYC,CENSUS_TRACT,122836,194,NUMBER,22,499,116346,2
CAMPAIGN_NYC,CITY,122836,194,VARCHAR2,120,3137,895,10
CAMPAIGN_NYC,COMMITTEE,122836,194,VARCHAR2,120,7,0,2
CAMPAIGN_NYC,COMMUNITY_BOARD,122836,194,NUMBER,22,18,116346,2
CAMPAIGN_NYC,COUNCIL_DISTRICT,122836,194,NUMBER,22,48,116346,2
CAMPAIGN_NYC,DATE1,122836,194,DATE,7,1298,114,8
CAMPAIGN_NYC,ELECTION,122836,194,NUMBER,22,1,0,4
CAMPAIGN_NYC,EMPCITY,122836,194,VARCHAR2,120,1824,43664,7
CAMPAIGN_NYC,EMPNAME,122836,194,VARCHAR2,120,34144,36378,13
CAMPAIGN_NYC,EMPSTATE,122836,194,VARCHAR2,120,68,43672,3
CAMPAIGN_NYC,EMPSTRNAME,122836,194,VARCHAR2,120,12717,54683,9
