TABLE_NAME,COLUMN_NAME,PERSONAL_DATA
BUILDING_DC,ANC,0
BUILDING_DC,APPLICATION_STATUS_NAME,0
BUILDING_DC,BUSINESSIMPROVEMENTDISTRICT,0
BUILDING_DC,CITY,0
BUILDING_DC,DCRAINTERNALNUMBER,0
BUILDING_DC,DCSTATADDRESSKEY,0
BUILDING_DC,DCSTATLOCATIONKEY,0
BUILDING_DC,DESC_OF_WORK,0
BUILDING_DC,DISTRICT,0
BUILDING_DC,FEE_TYPE,0
BUILDING_DC,FEES_PAID,0
BUILDING_DC,FULL_ADDRESS,1
BUILDING_DC,HOTSPOT2004NAME,0
BUILDING_DC,HOTSPOT2005NAME,0
BUILDING_DC,HOTSPOT2006NAME,0
BUILDING_DC,ISSUE_DATE,0
BUILDING_DC,LASTMODIFIEDDATE,0
BUILDING_DC,LATITUDE,0
BUILDING_DC,LONGITUDE,0
BUILDING_DC,MARADDRESSREPOSITORYID,0
BUILDING_DC,NEIGHBORHOODCLUSTER,0
BUILDING_DC,OBJECTID,0
BUILDING_DC,OWNER_NAME,0
BUILDING_DC,PERMIT_APPLICANT,1
BUILDING_DC,PERMIT_CATEGORY_NAME,0
BUILDING_DC,PERMIT_ID,0
BUILDING_DC,PERMIT_SUBTYPE_NAME,0
BUILDING_DC,PERMIT_TYPE_NAME,0
BUILDING_DC,PSA,0
BUILDING_DC,SMD,0
BUILDING_DC,SSL,0
BUILDING_DC,STATE,0
BUILDING_DC,WARD,0
BUILDING_DC,X,0
BUILDING_DC,XCOORD,0
BUILDING_DC,Y,0
BUILDING_DC,YCOORD,0
BUILDING_DC,ZIPCODE,1
BUILDING_DC,ZONING,0
BUILDING_DC2,APPLICANTCOMPANYNAME,0
BUILDING_DC2,APPLICATIONDATE,0
BUILDING_DC2,CONTRACTORNAME,1
BUILDING_DC2,EFFECTIVEDATE,0
BUILDING_DC2,EXPIRATIONDATE,0
BUILDING_DC2,INTAKEDATE,0
BUILDING_DC2,ISEXCAVATION,0
BUILDING_DC2,ISFIXTURE,0
BUILDING_DC2,ISLANDSCAPING,0
BUILDING_DC2,ISPAVING,0
BUILDING_DC2,ISPROJECTIONS,0
BUILDING_DC2,ISPSRENTAL,0
BUILDING_DC2,ISSUEDATE,0
BUILDING_DC2,LATITUDE,0
BUILDING_DC2,LONGITUDE,0
BUILDING_DC2,OBJECTID,1
BUILDING_DC2,OWNERNAME,1
BUILDING_DC2,PERMITNUMBER,1
BUILDING_DC2,PERMITTEENAME,1
BUILDING_DC2,READYFORREVIEWDATE,0
BUILDING_DC2,STATUS,0
BUILDING_DC2,TRACKINGNUMBER,1
BUILDING_DC2,WLFULLADDRESS,1
BUILDING_DC2,WORKDETAIL,0
BUILDING_DC2,X,0
BUILDING_DC2,XCOORD,0
BUILDING_DC2,Y,0
BUILDING_DC2,YCOORD,0
BUILDING_DC3,APPLICANTCOMPANYNAME,0
BUILDING_DC3,APPLICATIONDATE,0
BUILDING_DC3,APPLIEDBYFULLNAME,1
BUILDING_DC3,CANCELLEDDATE,0
BUILDING_DC3,CONSTRUCTIONTRACKINGNUMBER,0
BUILDING_DC3,EFFECTIVEDATE,0
BUILDING_DC3,EMERGENCYCAUSE,0
BUILDING_DC3,EMERGENCYTYPEDESC,0
BUILDING_DC3,EXPIRATIONDATE,0
BUILDING_DC3,ISSUEDDATE,0
