TABLE_NAME,COLUMN_NAME,NUM_ROWS,AVG_ROW_LEN,DATA_TYPE,DATA_LENGTH,NUM_DISTINCT,NUM_NULLS,AVG_COL_LEN
SO_CHICAGO,AGE,1065,67,NUMBER,22,62,0,3
SO_CHICAGO,BIRTH_DATE,1065,67,DATE,7,1026,0,8
SO_CHICAGO,BLOCK,1065,67,VARCHAR2,120,895,0,20
SO_CHICAGO,FIRST,1065,67,VARCHAR2,120,479,0,7
SO_CHICAGO,GENDER,1065,67,VARCHAR2,120,2,0,6
SO_CHICAGO,HEIGHT,1065,67,NUMBER,22,23,0,4
SO_CHICAGO,LAST,1065,67,VARCHAR2,120,761,0,8
SO_CHICAGO,RACE,1065,67,VARCHAR2,120,6,0,8
SO_CHICAGO,VICTIM_MINOR,1065,67,VARCHAR2,120,2,0,2
SO_CHICAGO,WEIGHT,1065,67,NUMBER,22,129,0,4
SO_DC,ADDDATE,1409,257,VARCHAR2,120,775,4,25
SO_DC,ALIASES,1409,257,VARCHAR2,120,646,560,16
SO_DC,BIRTHDATE,1409,257,VARCHAR2,120,1053,4,25
SO_DC,BLOCK_X,1409,257,NUMBER,22,826,4,5
SO_DC,BLOCK_Y,1409,257,NUMBER,22,829,4,5
SO_DC,BLOCKNAME,1409,257,VARCHAR2,120,868,5,31
SO_DC,DCS_LAST_MOD_DTM,1409,257,VARCHAR2,120,1,4,25
SO_DC,DISTRICT,1409,257,NUMBER,22,7,10,3
SO_DC,EYECOLOR,1409,257,VARCHAR2,120,8,4,6
SO_DC,FIRSTNAME,1409,257,VARCHAR2,120,464,4,8
SO_DC,HAIRCOLOR,1409,257,VARCHAR2,120,11,4,7
SO_DC,HEIGHTNUM,1409,257,NUMBER,22,24,4,3
SO_DC,LASTNAME,1409,257,VARCHAR2,120,721,4,8
SO_DC,MARKINGS,1409,257,VARCHAR2,120,243,1008,9
SO_DC,MAXCLASSIFICATION,1409,257,VARCHAR2,120,2,4,2
SO_DC,OBJECTID,1409,257,NUMBER,22,1403,4,6
SO_DC,PSA,1409,257,NUMBER,22,57,12,4
SO_DC,QUADRANT,1409,257,VARCHAR2,120,4,5,3
SO_DC,REGISTRATIONDATE,1409,257,VARCHAR2,120,864,5,25
SO_DC,SEXOFFENDERCODE,1409,257,VARCHAR2,120,1084,4,8
SO_DC,TYPE,1409,257,VARCHAR2,120,3,5,6
SO_DC,WEIGHTNUM,1409,257,NUMBER,22,141,4,4
SO_DC,X,1409,257,FLOAT,22,920,6,12
SO_DC,Y,1409,257,FLOAT,22,920,4,11
SO_DC,ZIP,1409,257,NUMBER,22,30,5,5
SO_IL,AGE_OF_OFFENDER_AT_TIME_OF_OFF,26110,153,NUMBER,22,77,0,3
SO_IL,AGE_OF_VICTIM,26110,153,NUMBER,22,94,1,3
SO_IL,CITY,26110,153,VARCHAR2,120,2829,5874,8
SO_IL,CLASSIFICATION,26110,153,VARCHAR2,120,4,5418,13
SO_IL,CONVICTION_COUNTY,26110,153,VARCHAR2,120,168,0,5
SO_IL,CONVICTION_STATE,26110,153,VARCHAR2,120,66,0,3
SO_IL,CRIMES,26110,153,VARCHAR2,120,231,6,31
SO_IL,DATE_OF_BIRTH,26110,153,DATE,7,379,0,8
SO_IL,FIRST_NAME,26110,153,VARCHAR2,120,3498,4,7
SO_IL,GENDER,26110,153,VARCHAR2,120,2,0,2
SO_IL,HEIGHT,26110,153,NUMBER,22,32,0,4
SO_IL,LAST_NAME,26110,153,VARCHAR2,120,11025,2,8
SO_IL,MIDDLE_NAME,26110,153,VARCHAR2,120,1205,8653,3
SO_IL,RACE,26110,153,VARCHAR2,120,5,0,2
SO_IL,RESIDENCE_COUNTY,26110,153,VARCHAR2,120,104,0,5
SO_IL,STATE,26110,153,VARCHAR2,120,89,0,3
SO_IL,STATUS,26110,153,VARCHAR2,120,3,0,11
SO_IL,STREET_ADDRESS,26110,153,VARCHAR2,120,13784,0,19
SO_IL,WEIGHT,26110,153,NUMBER,22,285,0,4
SO_IL,X,26110,153,FLOAT,22,11544,13845,5
SO_IL,Y,26110,153,FLOAT,22,11551,13845,4
SO_IL,ZIP_CODE,26110,153,VARCHAR2,120,3884,0,6
