TABLE_NAME,COLUMN_NAME,NUM_ROWS,AVG_ROW_LEN,DATA_TYPE,DATA_LENGTH,NUM_DISTINCT,NUM_NULLS,AVG_COL_LEN
LICENSES_DC,BUSINESS_ADDRESS,64692,93,VARCHAR2,120,52508,0,31
LICENSES_DC,CORPORATE_NAME,64692,93,VARCHAR2,120,37488,16664,17
LICENSES_DC,DESCRIPTION,64692,93,VARCHAR2,120,99,0,20
LICENSES_DC,EXPIRATION_DATE,64692,93,DATE,7,68,0,8
LICENSES_DC,FIRST_NAME,64692,93,VARCHAR2,120,10707,37406,4
LICENSES_DC,LAST_NAME,64692,93,VARCHAR2,120,16646,37341,5
LICENSES_DC,LICENSE_NUMBER,64692,93,NUMBER,22,12694,0,6
LICENSES_DC,TRADE_NAME,64692,93,VARCHAR2,120,9216,52218,5
HUMAN_T,ACTUAL_COUNT,1613,160,NUMBER,22,27,0,3
HUMAN_T,AGENCY_TYPE_NAME,1613,160,VARCHAR2,120,6,0,6
HUMAN_T,CLEARED_COUNT,1613,160,NUMBER,22,21,0,3
HUMAN_T,COUNTY_NAME,1613,160,VARCHAR2,120,272,29,12
HUMAN_T,DATA_YEAR,1613,160,NUMBER,22,6,0,4
HUMAN_T,DIVISION_NAME,1613,160,VARCHAR2,120,9,0,18
HUMAN_T,JUVENILE_CLEARED_COUNT,1613,160,NUMBER,22,8,0,3
HUMAN_T,OFFENSE_NAME,1613,160,VARCHAR2,120,1,0,18
HUMAN_T,OFFENSE_SUBCAT_ID,1613,160,NUMBER,22,2,0,3
HUMAN_T,OFFENSE_SUBCAT_NAME,1613,160,VARCHAR2,120,2,0,21
HUMAN_T,ORI,1613,160,VARCHAR2,120,427,0,10
HUMAN_T,POPULATION_GROUP_CODE,1613,160,VARCHAR2,120,18,0,3
HUMAN_T,POPULATION_GROUP_DESC,1613,160,VARCHAR2,120,18,0,30
HUMAN_T,PUB_AGENCY_NAME,1613,160,VARCHAR2,120,403,0,11
HUMAN_T,PUB_AGENCY_UNIT,1613,160,VARCHAR2,120,10,1599,2
HUMAN_T,REGION_NAME,1613,160,VARCHAR2,120,4,0,7
HUMAN_T,STATE_ABBR,1613,160,VARCHAR2,120,33,0,3
HUMAN_T,STATE_NAME,1613,160,VARCHAR2,120,33,0,9
HUMAN_T,UNFOUNDED_COUNT,1613,160,NUMBER,22,13,0,3
PAYROLL_NY,BIWEEKLY_HOURLY_RATE,1179,169,FLOAT,22,496,0,5
PAYROLL_NY,CHECK_DATE,1179,169,VARCHAR2,120,1,0,23
PAYROLL_NY,CITY,1179,169,VARCHAR2,120,57,0,9
PAYROLL_NY,EMPLOYEE_NAME,1179,169,VARCHAR2,120,1179,0,18
PAYROLL_NY,EMPLOYEE_TITLE,1179,169,VARCHAR2,120,485,0,23
PAYROLL_NY,LEGISLATIVE_ENTITY,1179,169,VARCHAR2,120,2,0,17
PAYROLL_NY,OFFICE,1179,169,VARCHAR2,120,115,0,25
PAYROLL_NY,PAY_PERIOD,1179,169,NUMBER,22,1,0,3
PAYROLL_NY,PAY_PERIOD_BEGIN_DATE,1179,169,VARCHAR2,120,1,0,23
PAYROLL_NY,PAY_PERIOD_END_DATE,1179,169,VARCHAR2,120,1,0,23
PAYROLL_NY,PAYROLL_TYPE,1179,169,VARCHAR2,120,3,0,3
LOBBYIST_NEVADA,EMAIL,7119,199,VARCHAR2,120,1285,662,21
LOBBYIST_NEVADA,EMPLOYER_ORG_ADDRESS,7119,199,VARCHAR2,120,2276,1,28
LOBBYIST_NEVADA,EMPLOYER_ORG_PHONE,7119,199,VARCHAR2,120,1764,61,13
LOBBYIST_NEVADA,EMPLOYER_ORG_STATE,7119,199,VARCHAR2,120,42,3,3
LOBBYIST_NEVADA,EMPLOYER_ORG_ZIP_CODE,7119,199,VARCHAR2,120,541,9,7
LOBBYIST_NEVADA,EMPLOYER_ORGANIZATION,7119,199,VARCHAR2,120,2013,1,24
LOBBYIST_NEVADA,FIRSTNAME,7119,199,VARCHAR2,120,742,0,7
LOBBYIST_NEVADA,FULL_NAME,7119,199,VARCHAR2,120,1473,0,16
LOBBYIST_NEVADA,LAST_NAME,7119,199,VARCHAR2,120,1200,0,8
LOBBYIST_NEVADA,LOCATION_1,7119,199,VARCHAR2,120,1349,555,29
LOBBYIST_NEVADA,OBJECTID,7119,199,NUMBER,22,7119,0,4
LOBBYIST_NEVADA,PHONE,7119,199,VARCHAR2,120,1108,1014,12
LOBBYIST_NEVADA,POSITION,7119,199,VARCHAR2,120,4,0,15
LOBBYIST_NEVADA,SESSION_NUM,7119,199,VARCHAR2,120,2,0,5
LOBBYIST_NEVADA,YEAR,7119,199,NUMBER,22,2,0,4
LOBBYIST_NEVADA,ZIP_CODE,7119,199,VARCHAR2,120,293,1,7
PAYROLL_LV,ANNUAL_BUYBACKS,30295,131,FLOAT,22,8103,7313,3
PAYROLL_LV,BASE_SALARY,30295,131,FLOAT,22,26136,12,6
PAYROLL_LV,ER_PAID,30295,131,FLOAT,22,1877,4490,4
PAYROLL_LV,GROSS_WAGES,30295,131,FLOAT,22,28154,5,6
PAYROLL_LV,JOB,30295,131,VARCHAR2,120,639,1,22
PAYROLL_LV,LONGEVITY_PAY,30295,131,FLOAT,22,9554,6746,3
PAYROLL_LV,OBJECTID,30295,131,NUMBER,22,30295,0,5
PAYROLL_LV,ORGANIZATION,30295,131,VARCHAR2,120,131,1,23
PAYROLL_LV,OTHER,30295,131,FLOAT,22,10080,4229,4
PAYROLL_LV,OVERTIME,30295,131,FLOAT,22,13591,5903,4
PAYROLL_LV,PERS_CONTRIBUTIONS,30295,131,FLOAT,22,18776,7778,5
PAYROLL_LV,PERSON_NAME,30295,131,VARCHAR2,120,7921,1,19
PAYROLL_LV,SEPERATION_PAY,30295,131,FLOAT,22,1262,14616,2
PAYROLL_LV,WORK_GROUP,30295,131,VARCHAR2,120,17,1,5
PAYROLL_LV,YEAR_ENDING,30295,131,VARCHAR2,120,8,1,25
LOBBYIST_LA,DATE_QUALIFIED,3703,209,DATE,7,277,0,8
LOBBYIST_LA,DATE_REGISTERED,3703,209,DATE,7,331,0,8
LOBBYIST_LA,DATE_TERMINATED,3703,209,DATE,7,145,0,8
LOBBYIST_LA,LOBBYING_FIRM,3703,209,VARCHAR2,120,455,0,25
LOBBYIST_LA,LOBBYIST_ALT_AREA_CODE,3703,209,NUMBER,22,17,3223,2
LOBBYIST_LA,LOBBYIST_ALT_TELEPHONE,3703,209,VARCHAR2,120,69,3241,2
LOBBYIST_LA,LOBBYIST_ALT_TELEPHONE_EXT,3703,209,NUMBER,22,5,3691,2
LOBBYIST_LA,LOBBYIST_AREA_CODE,3703,209,NUMBER,22,61,0,4
LOBBYIST_LA,LOBBYIST_CITY,3703,209,VARCHAR2,120,130,0,12
LOBBYIST_LA,LOBBYIST_EMAIL,3703,209,VARCHAR2,120,922,0,24
LOBBYIST_LA,LOBBYIST_FAX_AREA_CODE,3703,209,NUMBER,22,34,1540,3
LOBBYIST_LA,LOBBYIST_FAX_NUMBER,3703,209,VARCHAR2,120,235,1536,6
LOBBYIST_LA,LOBBYIST_FIRST_NAME,3703,209,VARCHAR2,120,647,0,8
LOBBYIST_LA,LOBBYIST_LAST_NAME,3703,209,VARCHAR2,120,894,0,8
LOBBYIST_LA,LOBBYIST_MIDDLE_NAME,3703,209,VARCHAR2,120,75,3054,2
LOBBYIST_LA,LOBBYIST_PREFIX,3703,209,VARCHAR2,120,5,2617,2
LOBBYIST_LA,LOBBYIST_REGISTRATION_FORM,3703,209,VARCHAR2,120,1,0,31
LOBBYIST_LA,LOBBYIST_STATE,3703,209,VARCHAR2,120,20,0,3
LOBBYIST_LA,LOBBYIST_STREET_ADDRESS,3703,209,VARCHAR2,120,687,0,24
LOBBYIST_LA,LOBBYIST_STREET_ADDRESS_2,3703,209,VARCHAR2,120,196,2478,5
LOBBYIST_LA,LOBBYIST_SUFFIX,3703,209,VARCHAR2,120,3,3592,2
LOBBYIST_LA,LOBBYIST_TELEPHONE,3703,209,VARCHAR2,120,699,0,9
LOBBYIST_LA,LOBBYIST_TELEPHONE_EXT,3703,209,VARCHAR2,120,80,3329,2
LOBBYIST_LA,LOBBYIST_WEBSITE,3703,209,VARCHAR2,120,163,2270,8
LOBBYIST_LA,LOBBYIST_ZIP,3703,209,NUMBER,22,242,0,5
LOBBYIST_LA,LOBBYIST_ZIPPLUS4,3703,209,NUMBER,22,51,3179,2
LOBBYIST_LA,REGISTRATION_YEAR,3703,209,NUMBER,22,8,0,4
